Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2019-06-04,1990.790771484375,2028.087800708076,1983.4042115737705,2028.087800708076,2408658
2019-06-06,1975.28759765625,2005.289336326604,1962.4295824351304,2005.289336326604,3735467
2019-06-07,1989.5595703125,1996.9004900730038,1953.402429178106,1982.492268068924,2659446
2019-06-10,2034.926513671875,2038.8934099558835,1992.978667098312,2003.1920113024253,2080593
2019-06-11,2054.350341796875,2064.518046517407,2034.470664599361,2039.942123132573,3048937
2019-06-12,2061.737548828125,2067.209009674377,2023.5286029721901,2047.2382666392818,2404448
2019-06-13,2055.535888671875,2083.7138113338174,2045.4592412499594,2064.56370628436,3320916
2019-06-14,2055.90087890625,2063.743393135642,2037.2067258711743,2058.4086311426627,2131408
2019-06-17,2051.067138671875,2062.7396267097142,2043.9998388898236,2057.268168813933,1489497
2019-06-18,2052.572265625,2060.9161512544847,2034.653104446166,2046.3255944314442,1877447
2019-06-19,2060.8251953125,2075.5070344782885,2045.550703736265,2056.3569256364412,1652817
2019-06-20,2077.285400390625,2082.802500577944,2017.1449786683067,2033.5593591457161,2199377
2019-06-21,2051.66064453125,2090.5535139819426,2044.5020625289053,2083.7141895087193,3871804
2019-06-24,2075.051513671875,2079.1551092823006,2052.5273778481787,2055.5821432220205,1382424
2019-06-25,2068.029296875,2074.0934086009606,2052.2532112221143,2070.0354541098422,1386077
2019-06-26,2055.626953125,2067.1171052478094,2051.796976628804,2065.4756231396623,1762224
2019-06-27,2054.123046875,2064.5643725183427,2043.8640587165057,2056.3571819915473,2813464
2019-06-28,2031.0057373046875,2062.6946071496254,2026.7198051906412,2060.9164273254664,2372928
2019-07-01,2042.267822265625,2056.3567854260627,2012.2204361584222,2038.1185877726164,2769940
2019-07-02,2053.71240234375,2058.180671859881,2021.2026803928798,2047.1464728684273,1771746
2019-07-03,2040.5352783203125,2059.8223079838026,2035.3830759854384,2053.803613060244,1656881
2019-07-04,2045.0948486328125,2053.62129608724,2033.6505563734938,2037.206916278372,984140
2019-07-05,1972.5526123046875,2051.797502341407,1951.487402226938,2049.0617723382848,4088470
2019-07-08,1983.7685546875,1995.9882799873262,1944.2830371646626,1959.6942242345438,2788062
2019-07-09,1945.4229736328125,1982.8566949849421,1919.159925343863,1982.4920200974984,3977224
2019-07-10,1922.488037109375,1940.4071967804766,1888.8386573212147,1896.7722273993602,6343581
2019-07-11,1917.336181640625,1941.456153677785,1902.28966847215,1940.5442437887866,2400346
2019-07-12,1921.941162109375,1933.0207770021766,1908.7184701567712,1916.9256582652838,1560725
2019-07-15,1956.6851806640625,1963.8894030170572,1913.187119564964,1937.8086887872014,2900415
2019-07-16,1924.9677734375,1949.1898275666993,1919.4835347667379,1943.248569006707,2735399
2019-07-17,1935.2510986328125,1942.3349082983711,1912.2630829798427,1926.7962290319842,1802969
2019-07-18,1888.360595703125,1934.2910984630091,1882.9221031912648,1934.2910984630091,3072096
2019-07-19,1898.4151611328125,1916.7417061009708,1885.2073289619705,1898.4609077595214,1953177
2019-07-22,1928.532470703125,1935.4335157736796,1890.965569089462,1898.460650763988,1920167
2019-07-23,1930.86328125,1946.904723958535,1921.6771368652628,1944.9851511661748,3538588
2019-07-24,1916.55908203125,1938.4960416352224,1898.0040257353646,1928.6243651825762,2413196
2019-07-25,1944.98486328125,1951.4746339955652,1912.6736958568,1927.6181100981512,2544464
2019-07-26,1927.7554931640625,1946.721817128437,1914.91319061999,1946.721817128437,1720592
2019-07-29,1946.905029296875,1957.8735083351673,1922.5002080675304,1929.355507466463,1647090
2019-07-30,1991.8297119140625,1997.1769339279242,1938.1756210659323,1946.9047456597157,2851672
2019-07-31,2016.097900390625,2021.5821401649048,1962.5808159624207,1985.0662882986828,3000677
2019-08-01,1992.6524658203125,2026.8832109298576,1980.038672233057,2010.8875147894867,2375236
2019-08-02,2015.73193359375,2020.0278758481902,1979.3531064023782,1986.2084046235825,2500816
2019-08-05,2055.310302734375,2058.646459260786,2006.866185810933,2010.7963790378994,3039682
2019-08-06,2024.5064697265625,2058.371685701719,2021.353077349638,2040.867914471006,2885467
2019-08-07,2023.181396484375,2046.0781386236113,2017.5143942269224,2038.308800147712,2165362
2019-08-08,2063.9931640625,2084.9245842171053,2028.1626288090395,2037.3030259340596,2073298
2019-08-09,2053.162353515625,2072.9512302877906,2048.683646769675,2065.7304035371453,1744550
2019-08-13,2010.3846435546875,2053.161747635434,2005.6774281974274,2052.0191979706397,1647281
2019-08-14,2014.9095458984375,2027.2035615625375,1981.0900682623799,1993.6125939105073,1945002
2019-08-16,1978.9879150390625,2048.7289822349207,1959.0160535759592,2048.7289822349207,3755507
2019-08-19,1977.068115234375,1998.0910309303486,1972.2236595953223,1992.6067920531382,974884
2019-08-20,1998.776123046875,2015.4573459784426,1980.2668208899302,1985.2940387597175,1843611
2019-08-21,1998.27392578125,2012.7158004059334,1994.6635129136457,1997.1313759399661,1214408
2019-08-22,2025.512451171875,2043.4732462357636,1983.4666150915923,1999.005293643001,2131601
2019-08-23,2054.48681640625,2065.6380551782886,2023.5922325116933,2024.5520187468803,2826425
2019-08-26,2080.62890625,2085.8388886416105,2033.7386184169952,2053.8474946440397,2345475
2019-08-27,2044.249755859375,2079.3032670469324,2037.3944582206784,2074.8700853122205,3432106
2019-08-28,2046.7633056640625,2058.5543279991466,2025.5118836001172,2047.4488354080606,1294621
2019-08-29,2041.462158203125,2054.944245329231,2031.1792103950781,2031.1792103950781,1670652
2019-08-30,2065.36376953125,2071.2135331434174,2027.3396365896292,2048.362545354986,2583625
2019-09-03,2058.051513671875,2098.817543187028,2044.6607005434394,2074.8697519147086,2545060
2019-09-04,2052.38525390625,2074.870726370037,2041.0512475701732,2070.3005265322176,2228092
2019-09-05,2024.8726806640625,2059.92597772526,2017.5603612995224,2049.4602652656176,2055943
2019-09-06,2008.6025390625,2041.5079731495307,2004.1238331290235,2025.5122760238908,1890550
2019-09-09,1995.2120361328125,2013.4928336852886,1992.4241698752066,2010.887730772354,1703945
2019-09-11,1968.841552734375,2006.3171811754657,1962.032001465559,1998.0908237127871,2627440
2019-09-12,1950.1959228515625,1978.8966909083251,1938.084892295195,1969.7562904884253,2118859
2019-09-13,1957.8272705078125,1972.4519055563517,1933.6967119394112,1951.4747392894474,2291174
2019-09-16,1965.185791015625,1986.574235479388,1943.6143600478838,1974.28044341761,2597948
2019-09-17,1940.1865234375,1971.1726070488003,1924.6023231200556,1969.7100540835597,2796530
2019-09-18,1954.719970703125,1958.7416567914092,1931.5032245629075,1943.6142526054866,1454663
2019-09-19,1921.26611328125,1952.2064529986424,1911.2574210586408,1951.4751764515534,1652691
2019-09-20,1887.903564453125,1946.3563682576842,1880.179972347789,1923.9623919219912,6941979
2019-09-23,1842.5213623046875,1918.5694244455756,1805.2284960838551,1918.5694244455756,6323401
2019-09-24,1868.9373779296875,1883.8362732416879,1839.962357125433,1841.7904369636103,4620978
2019-09-25,1908.9263916015625,1912.1712775494777,1882.9677503267399,1887.492202743629,4002232
2019-09-26,1908.14990234375,1925.8821882371378,1885.6644301534006,1917.5643353717414,4234281
2019-09-27,1879.40283203125,1905.955732661691,1875.061143012384,1905.772969333851,2046795
2019-09-30,1918.843994140625,1923.1399370116503,1882.9221816749048,1884.6132447405446,2620039
2019-10-01,1882.8760986328125,1915.7815289381556,1864.3667940860569,1915.7815289381556,3342877
2019-10-03,1883.1505126953125,1902.253855403195,1870.262573729823,1892.0624008150937,2317618
2019-10-04,1900.608642578125,1908.4692505320843,1878.3059387955116,1883.470397273254,2163251
2019-10-07,1871.6793212890625,1914.4564301017042,1865.5552990391875,1901.2028525240125,2177916
2019-10-09,1846.4520263671875,1882.9222416148643,1842.2474650362908,1882.9222416148643,2066920
2019-10-10,1832.1468505859375,1863.7727137878612,1825.4286810383337,1853.672530369745,2881452
2019-10-11,1816.0599365234375,1823.5093831358834,1759.5265977626943,1765.0108365089677,12593069
2019-10-14,1847.274658203125,1858.0146271461663,1798.8305429706827,1823.509620541927,3510704
2019-10-15,1862.1737060546875,1871.0398492782494,1848.8286330120898,1857.3292495033722,2261310
2019-10-16,1870.4912109375,1879.2659713677597,1842.7043765940678,1862.8132537195984,3034082
2019-10-17,1860.916015625,1867.3758246260174,1831.9158868278985,1845.3851377805688,3818774
2019-10-18,1885.105712890625,1891.1071582687307,1855.464013126526,1866.9174946890355,3087901
2019-10-22,1879.65380859375,1934.722241290544,1869.2541808257797,1905.8594657278388,5552505
2019-10-23,1896.7882080078125,1909.3870373541017,1880.6616169642405,1887.53370569858,2348134
2019-10-24,1907.6923828125,1923.2691217691824,1888.725457176008,1909.5249403368157,2798671
2019-10-25,1947.046142578125,1951.673394191844,1901.323930476215,1918.6873649942354,3954245
2019-10-27,1938.5706787109375,1950.7572293932994,1932.248445559609,1950.7572293932994,224405
2019-10-29,2011.0941162109375,2017.3704902179325,1943.884993374939,1943.884993374939,5064173
2019-10-30,2064.192138671875,2070.789298777379,1994.6008350748027,2038.719552999853,5195136
2019-10-31,2079.631591796875,2093.650698825737,2049.7151856088417,2061.6268071613295,4879261
2019-11-01,2016.63720703125,2084.5335315388347,2011.2312535066999,2074.4544683094164,4172620
